iter	Passed	Remaining
0	1	101
1	1	90
2	2	84
3	3	76
4	4	76
5	4	75
6	5	71
7	6	70
8	7	71
9	8	72
10	8	71
11	9	69
12	10	69
13	11	68
14	11	67
15	12	65
16	13	64
17	14	64
18	15	64
19	16	64
20	16	63
21	18	63
22	18	63
23	19	61
24	20	61
25	21	60
26	22	60
27	23	59
28	24	59
29	25	58
30	26	58
31	27	57
32	28	56
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	35	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	49	33
60	51	32
61	52	31
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
